"thresholds","sen","spe","acc","youden"
0,1,0,0.46,0
0.01,1,0,0.46,0
0.02,1,0,0.46,0
0.03,1,0,0.46,0
0.04,1,0,0.46,0
0.05,1,0,0.46,0
0.06,1,0,0.46,0
0.07,1,0,0.46,0
0.08,1,0,0.46,0
0.09,1,0,0.46,0
0.1,1,0,0.46,0
0.11,1,0,0.46,0
0.12,1,0.04,0.48,0.04
0.13,1,0.09,0.51,0.09
0.14,1,0.16,0.54,0.16
0.15,1,0.22,0.58,0.22
0.16,1,0.24,0.59,0.24
0.17,1,0.31,0.63,0.31
0.18,1,0.38,0.66,0.38
0.19,1,0.4,0.67,0.4
0.2,1,0.4,0.67,0.4
0.21,0.97,0.47,0.7,0.44
0.22,0.97,0.49,0.71,0.46
0.23,0.97,0.53,0.73,0.51
0.24,0.97,0.58,0.76,0.55
0.25,0.97,0.62,0.78,0.6
0.26,0.92,0.62,0.76,0.54
0.27,0.92,0.64,0.77,0.57
0.28,0.92,0.64,0.77,0.57
0.29,0.92,0.69,0.8,0.61
0.3,0.92,0.71,0.81,0.63
0.31,0.92,0.73,0.82,0.65
0.32,0.92,0.73,0.82,0.65
0.33,0.92,0.73,0.82,0.65
0.34,0.89,0.76,0.82,0.65
0.35,0.89,0.78,0.83,0.67
0.36,0.89,0.8,0.84,0.69
0.37,0.79,0.8,0.8,0.59
0.38,0.76,0.8,0.78,0.56
0.39,0.76,0.82,0.8,0.59
0.4,0.71,0.82,0.77,0.53
0.41,0.71,0.82,0.77,0.53
0.42,0.68,0.84,0.77,0.53
0.43,0.68,0.84,0.77,0.53
0.44,0.66,0.84,0.76,0.5
0.45,0.66,0.87,0.77,0.52
0.46,0.66,0.87,0.77,0.52
0.47,0.66,0.87,0.77,0.52
0.48,0.66,0.87,0.77,0.52
0.49,0.66,0.87,0.77,0.52
0.5,0.66,0.87,0.77,0.52
0.51,0.66,0.87,0.77,0.52
0.52,0.61,0.87,0.75,0.47
0.53,0.61,0.87,0.75,0.47
0.54,0.61,0.91,0.77,0.52
0.55,0.61,0.91,0.77,0.52
0.56,0.61,0.91,0.77,0.52
0.57,0.55,0.91,0.75,0.46
0.58,0.55,0.93,0.76,0.49
0.59,0.55,0.93,0.76,0.49
0.6,0.55,0.93,0.76,0.49
0.61,0.55,0.93,0.76,0.49
0.62,0.55,0.93,0.76,0.49
0.63,0.5,0.93,0.73,0.43
0.64,0.5,0.93,0.73,0.43
0.65,0.5,0.93,0.73,0.43
0.66,0.5,0.93,0.73,0.43
0.67,0.5,0.96,0.75,0.46
0.68,0.5,0.96,0.75,0.46
0.69,0.5,0.96,0.75,0.46
0.7,0.47,0.96,0.73,0.43
0.71,0.47,0.96,0.73,0.43
0.72,0.47,0.96,0.73,0.43
0.73,0.45,0.96,0.72,0.4
0.74,0.45,0.96,0.72,0.4
0.75,0.45,0.96,0.72,0.4
0.76,0.39,0.96,0.7,0.35
0.77,0.39,0.98,0.71,0.37
0.78,0.37,0.98,0.7,0.35
0.79,0.34,0.98,0.69,0.32
0.8,0.34,0.98,0.69,0.32
0.81,0.34,0.98,0.69,0.32
0.82,0.34,0.98,0.69,0.32
0.83,0.32,0.98,0.67,0.29
0.84,0.32,0.98,0.67,0.29
0.85,0.29,0.98,0.66,0.27
0.86,0.29,0.98,0.66,0.27
0.87,0.26,0.98,0.65,0.24
0.88,0.21,0.98,0.63,0.19
0.89,0.18,0.98,0.61,0.16
0.9,0.16,0.98,0.6,0.14
0.91,0.16,0.98,0.6,0.14
0.92,0.13,0.98,0.59,0.11
0.93,0.08,0.98,0.57,0.06
0.94,0.05,0.98,0.55,0.03
0.95,0,0.98,0.53,-0.02
0.96,0,0.98,0.53,-0.02
0.97,0,1,0.54,0
0.98,0,1,0.54,0
0.99,0,1,0.54,0
1,0,1,0.54,0
