"thresholds","sen","spe","acc","youden"
0,1,0,0.28,0
0.1,1,0,0.28,0
0.2,1,0,0.28,0
0.3,1,0,0.28,0
0.4,1,0,0.28,0
0.5,1,0.03,0.3,0.03
0.6,1,0.17,0.4,0.17
0.7,1,0.2,0.42,0.2
0.8,1,0.22,0.43,0.22
0.9,1,0.22,0.43,0.22
1,1,0.23,0.45,0.23
1.1,1,0.23,0.45,0.23
1.2,1,0.23,0.45,0.23
1.3,1,0.23,0.45,0.23
1.4,1,0.23,0.45,0.23
1.5,1,0.23,0.45,0.23
1.6,1,0.25,0.46,0.25
1.7,1,0.27,0.47,0.27
1.8,1,0.27,0.47,0.27
1.9,1,0.27,0.47,0.27
2,1,0.27,0.47,0.27
2.1,1,0.28,0.48,0.28
2.2,1,0.28,0.48,0.28
2.3,1,0.28,0.48,0.28
2.4,1,0.28,0.48,0.28
2.5,1,0.28,0.48,0.28
2.6,1,0.28,0.48,0.28
2.7,1,0.28,0.48,0.28
2.8,1,0.28,0.48,0.28
2.9,1,0.28,0.48,0.28
3,1,0.28,0.48,0.28
3.1,1,0.28,0.48,0.28
3.2,1,0.28,0.48,0.28
3.3,1,0.28,0.48,0.28
3.4,1,0.28,0.48,0.28
3.5,1,0.28,0.48,0.28
3.6,1,0.28,0.48,0.28
3.7,1,0.28,0.48,0.28
3.8,1,0.28,0.48,0.28
3.9,1,0.32,0.51,0.32
4,1,0.32,0.51,0.32
4.1,1,0.32,0.51,0.32
4.2,1,0.33,0.52,0.33
4.3,1,0.37,0.54,0.37
4.4,1,0.4,0.57,0.4
4.5,1,0.42,0.58,0.42
4.6,1,0.42,0.58,0.42
4.7,1,0.42,0.58,0.42
4.8,1,0.42,0.58,0.42
4.9,1,0.42,0.58,0.42
5,1,0.42,0.58,0.42
5.1,1,0.43,0.59,0.43
5.2,1,0.43,0.59,0.43
5.3,1,0.43,0.59,0.43
5.4,1,0.43,0.59,0.43
5.5,1,0.45,0.6,0.45
5.6,1,0.47,0.61,0.47
5.7,1,0.47,0.61,0.47
5.8,1,0.47,0.61,0.47
5.9,1,0.47,0.61,0.47
6,1,0.47,0.61,0.47
6.1,1,0.48,0.63,0.48
6.2,1,0.5,0.64,0.5
6.3,1,0.5,0.64,0.5
6.4,1,0.52,0.65,0.52
6.5,1,0.52,0.65,0.52
6.6,1,0.52,0.65,0.52
6.7,1,0.52,0.65,0.52
6.8,1,0.52,0.65,0.52
6.9,1,0.52,0.65,0.52
7,1,0.53,0.66,0.53
7.1,1,0.53,0.66,0.53
7.2,1,0.55,0.67,0.55
7.3,1,0.55,0.67,0.55
7.4,1,0.55,0.67,0.55
7.5,1,0.55,0.67,0.55
7.6,1,0.55,0.67,0.55
7.7,1,0.57,0.69,0.57
7.8,1,0.58,0.7,0.58
