"thresholds","sen","spe","acc","youden"
0,1,0,0.18,0
0.01,1,0,0.18,0
0.02,1,0,0.18,0
0.03,1,0,0.18,0
0.04,1,0,0.18,0
0.05,1,0,0.18,0
0.06,1,0,0.18,0
0.07,1,0,0.18,0
0.08,1,0,0.18,0
0.09,1,0,0.18,0
0.1,1,0,0.18,0
0.11,1,0,0.18,0
0.12,1,0,0.18,0
0.13,1,0,0.18,0
0.14,1,0,0.18,0
0.15,1,0,0.18,0
0.16,1,0.01,0.19,0.01
0.17,1,0.03,0.2,0.03
0.18,1,0.04,0.22,0.04
0.19,1,0.09,0.25,0.09
0.2,1,0.1,0.27,0.1
0.21,1,0.19,0.34,0.19
0.22,1,0.19,0.34,0.19
0.23,1,0.21,0.35,0.21
0.24,1,0.21,0.35,0.21
0.25,1,0.25,0.39,0.25
0.26,1,0.26,0.4,0.26
0.27,0.93,0.28,0.4,0.21
0.28,0.87,0.28,0.39,0.15
0.29,0.87,0.28,0.39,0.15
0.3,0.87,0.29,0.4,0.16
0.31,0.87,0.31,0.41,0.18
0.32,0.87,0.31,0.41,0.18
0.33,0.87,0.35,0.45,0.22
0.34,0.87,0.35,0.45,0.22
0.35,0.87,0.37,0.46,0.23
0.36,0.87,0.4,0.48,0.26
0.37,0.87,0.4,0.48,0.26
0.38,0.8,0.4,0.47,0.2
0.39,0.8,0.41,0.48,0.21
0.4,0.8,0.41,0.48,0.21
0.41,0.8,0.43,0.49,0.23
0.42,0.8,0.46,0.52,0.26
0.43,0.8,0.46,0.52,0.26
0.44,0.73,0.49,0.53,0.22
0.45,0.73,0.49,0.53,0.22
0.46,0.73,0.54,0.58,0.28
0.47,0.73,0.56,0.59,0.29
0.48,0.73,0.56,0.59,0.29
0.49,0.73,0.56,0.59,0.29
0.5,0.73,0.57,0.6,0.31
0.51,0.73,0.57,0.6,0.31
0.52,0.73,0.59,0.61,0.32
0.53,0.73,0.62,0.64,0.35
0.54,0.67,0.65,0.65,0.31
0.55,0.67,0.68,0.67,0.34
0.56,0.67,0.68,0.67,0.34
0.57,0.67,0.71,0.7,0.37
0.58,0.67,0.71,0.7,0.37
0.59,0.67,0.72,0.71,0.39
0.6,0.67,0.74,0.72,0.4
0.61,0.67,0.74,0.72,0.4
0.62,0.67,0.74,0.72,0.4
0.63,0.67,0.74,0.72,0.4
0.64,0.67,0.75,0.73,0.42
0.65,0.67,0.76,0.75,0.43
0.66,0.67,0.76,0.75,0.43
0.67,0.67,0.76,0.75,0.43
0.68,0.6,0.76,0.73,0.36
0.69,0.6,0.76,0.73,0.36
0.7,0.6,0.76,0.73,0.36
0.71,0.53,0.79,0.75,0.33
0.72,0.53,0.79,0.75,0.33
0.73,0.53,0.81,0.76,0.34
0.74,0.47,0.81,0.75,0.28
0.75,0.47,0.81,0.75,0.28
0.76,0.47,0.82,0.76,0.29
0.77,0.47,0.84,0.77,0.3
0.78,0.47,0.84,0.77,0.3
0.79,0.47,0.85,0.78,0.32
0.8,0.47,0.87,0.8,0.33
0.81,0.47,0.87,0.8,0.33
0.82,0.4,0.87,0.78,0.27
0.83,0.4,0.88,0.8,0.28
0.84,0.4,0.88,0.8,0.28
0.85,0.33,0.9,0.8,0.23
0.86,0.33,0.9,0.8,0.23
0.87,0.33,0.91,0.81,0.25
0.88,0.33,0.93,0.82,0.26
0.89,0.33,0.93,0.82,0.26
0.9,0.33,0.94,0.83,0.27
0.91,0.33,0.97,0.86,0.3
0.92,0.33,0.97,0.86,0.3
0.93,0.33,0.97,0.86,0.3
0.94,0.33,0.97,0.86,0.3
0.95,0.27,0.97,0.84,0.24
0.96,0.2,0.99,0.84,0.19
0.97,0.2,0.99,0.84,0.19
0.98,0.2,0.99,0.84,0.19
0.99,0.2,0.99,0.84,0.19
1,0.2,0.99,0.84,0.19
