"thresholds","sen","spe","acc","youden"
0,1,0,0.59,0
0.1,1,0,0.59,0
0.2,1,0,0.59,0
0.3,1,0,0.59,0
0.4,1,0,0.59,0
0.5,0.98,0.03,0.59,0.01
0.6,0.98,0.26,0.69,0.24
0.7,0.96,0.29,0.69,0.25
0.8,0.96,0.32,0.7,0.28
0.9,0.96,0.32,0.7,0.28
1,0.96,0.35,0.71,0.31
1.1,0.96,0.35,0.71,0.31
1.2,0.96,0.35,0.71,0.31
1.3,0.96,0.35,0.71,0.31
1.4,0.96,0.35,0.71,0.31
1.5,0.96,0.35,0.71,0.31
1.6,0.96,0.38,0.72,0.34
1.7,0.96,0.41,0.73,0.37
1.8,0.96,0.41,0.73,0.37
1.9,0.96,0.41,0.73,0.37
2,0.96,0.41,0.73,0.37
2.1,0.96,0.44,0.75,0.4
2.2,0.96,0.44,0.75,0.4
2.3,0.96,0.44,0.75,0.4
2.4,0.96,0.44,0.75,0.4
2.5,0.96,0.44,0.75,0.4
2.6,0.96,0.44,0.75,0.4
2.7,0.96,0.44,0.75,0.4
2.8,0.96,0.44,0.75,0.4
2.9,0.96,0.44,0.75,0.4
3,0.96,0.44,0.75,0.4
3.1,0.96,0.44,0.75,0.4
3.2,0.96,0.44,0.75,0.4
3.3,0.96,0.44,0.75,0.4
3.4,0.96,0.44,0.75,0.4
3.5,0.96,0.44,0.75,0.4
3.6,0.96,0.44,0.75,0.4
3.7,0.96,0.44,0.75,0.4
3.8,0.96,0.44,0.75,0.4
3.9,0.96,0.5,0.77,0.46
4,0.96,0.5,0.77,0.46
4.1,0.96,0.5,0.77,0.46
4.2,0.94,0.5,0.76,0.44
4.3,0.92,0.53,0.76,0.45
4.4,0.9,0.56,0.76,0.46
4.5,0.9,0.59,0.77,0.49
4.6,0.9,0.59,0.77,0.49
4.7,0.9,0.59,0.77,0.49
4.8,0.9,0.59,0.77,0.49
4.9,0.9,0.59,0.77,0.49
5,0.9,0.59,0.77,0.49
5.1,0.9,0.62,0.78,0.52
5.2,0.9,0.62,0.78,0.52
5.3,0.9,0.62,0.78,0.52
5.4,0.9,0.62,0.78,0.52
5.5,0.88,0.62,0.77,0.5
5.6,0.88,0.65,0.78,0.52
5.7,0.88,0.65,0.78,0.52
5.8,0.88,0.65,0.78,0.52
5.9,0.88,0.65,0.78,0.52
6,0.88,0.65,0.78,0.52
6.1,0.88,0.68,0.8,0.55
6.2,0.88,0.71,0.81,0.58
6.3,0.88,0.71,0.81,0.58
6.4,0.88,0.74,0.82,0.61
6.5,0.88,0.74,0.82,0.61
6.6,0.88,0.74,0.82,0.61
6.7,0.88,0.74,0.82,0.61
6.8,0.88,0.74,0.82,0.61
6.9,0.88,0.74,0.82,0.61
7,0.86,0.74,0.81,0.59
7.1,0.86,0.74,0.81,0.59
7.2,0.86,0.76,0.82,0.62
7.3,0.86,0.76,0.82,0.62
7.4,0.86,0.76,0.82,0.62
7.5,0.86,0.76,0.82,0.62
7.6,0.86,0.76,0.82,0.62
7.7,0.86,0.79,0.83,0.65
7.8,0.84,0.79,0.82,0.63
7.9,0.84,0.79,0.82,0.63
8,0.84,0.79,0.82,0.63
8.1,0.84,0.79,0.82,0.63
8.2,0.84,0.79,0.82,0.63
8.3,0.84,0.82,0.83,0.66
8.4,0.84,0.82,0.83,0.66
8.5,0.84,0.88,0.86,0.72
8.6,0.84,0.88,0.86,0.72
8.7,0.82,0.88,0.84,0.7
8.8,0.82,0.91,0.86,0.73
8.9,0.82,0.94,0.87,0.76
9,0.82,0.94,0.87,0.76
9.1,0.82,0.94,0.87,0.76
9.2,0.82,0.94,0.87,0.76
9.3,0.82,0.94,0.87,0.76
9.4,0.82,0.94,0.87,0.76
9.5,0.82,0.94,0.87,0.76
9.6,0.82,0.94,0.87,0.76
9.7,0.82,0.94,0.87,0.76
9.8,0.82,0.94,0.87,0.76
9.9,0.82,0.94,0.87,0.76
10,0.82,0.94,0.87,0.76
10.1,0.82,0.94,0.87,0.76
10.2,0.8,0.94,0.86,0.74
10.3,0.8,0.94,0.86,0.74
10.4,0.8,0.94,0.86,0.74
10.5,0.78,0.94,0.84,0.72
10.6,0.78,0.94,0.84,0.72
10.7,0.78,0.94,0.84,0.72
10.8,0.78,0.94,0.84,0.72
10.9,0.78,0.94,0.84,0.72
11,0.78,0.94,0.84,0.72
11.1,0.78,0.94,0.84,0.72
11.2,0.76,0.94,0.83,0.7
11.3,0.76,0.94,0.83,0.7
11.4,0.76,0.94,0.83,0.7
11.5,0.76,0.94,0.83,0.7
11.6,0.76,0.94,0.83,0.7
11.7,0.76,0.94,0.83,0.7
11.8,0.73,0.97,0.83,0.71
11.9,0.71,0.97,0.82,0.68
12,0.71,0.97,0.82,0.68
12.1,0.71,0.97,0.82,0.68
12.2,0.71,0.97,0.82,0.68
12.3,0.71,0.97,0.82,0.68
12.4,0.71,0.97,0.82,0.68
12.5,0.71,0.97,0.82,0.68
12.6,0.71,0.97,0.82,0.68
12.7,0.71,0.97,0.82,0.68
12.8,0.71,0.97,0.82,0.68
12.9,0.71,0.97,0.82,0.68
13,0.71,0.97,0.82,0.68
13.1,0.71,0.97,0.82,0.68
13.2,0.71,0.97,0.82,0.68
13.3,0.69,0.97,0.81,0.66
13.4,0.67,0.97,0.8,0.64
13.5,0.67,0.97,0.8,0.64
13.6,0.67,0.97,0.8,0.64
13.7,0.67,0.97,0.8,0.64
13.8,0.65,0.97,0.78,0.62
13.9,0.61,0.97,0.76,0.58
14,0.61,0.97,0.76,0.58
14.1,0.61,0.97,0.76,0.58
14.2,0.61,0.97,0.76,0.58
14.3,0.61,0.97,0.76,0.58
14.4,0.59,0.97,0.75,0.56
14.5,0.59,0.97,0.75,0.56
14.6,0.59,0.97,0.75,0.56
14.7,0.57,0.97,0.73,0.54
14.8,0.57,0.97,0.73,0.54
14.9,0.57,0.97,0.73,0.54
15,0.57,0.97,0.73,0.54
15.1,0.53,0.97,0.71,0.5
15.2,0.53,0.97,0.71,0.5
15.3,0.53,0.97,0.71,0.5
15.4,0.53,0.97,0.71,0.5
15.5,0.53,0.97,0.71,0.5
15.6,0.51,0.97,0.7,0.48
15.7,0.51,0.97,0.7,0.48
15.8,0.49,0.97,0.69,0.46
15.9,0.49,0.97,0.69,0.46
16,0.49,0.97,0.69,0.46
16.1,0.49,0.97,0.69,0.46
16.2,0.47,0.97,0.67,0.44
16.3,0.47,0.97,0.67,0.44
16.4,0.47,0.97,0.67,0.44
16.5,0.47,0.97,0.67,0.44
16.6,0.47,0.97,0.67,0.44
16.7,0.47,0.97,0.67,0.44
16.8,0.47,0.97,0.67,0.44
16.9,0.47,0.97,0.67,0.44
17,0.47,0.97,0.67,0.44
17.1,0.47,0.97,0.67,0.44
17.2,0.47,0.97,0.67,0.44
17.3,0.47,0.97,0.67,0.44
17.4,0.47,0.97,0.67,0.44
17.5,0.47,0.97,0.67,0.44
17.6,0.47,0.97,0.67,0.44
17.7,0.47,0.97,0.67,0.44
17.8,0.47,0.97,0.67,0.44
17.9,0.45,0.97,0.66,0.42
18,0.45,0.97,0.66,0.42
18.1,0.45,0.97,0.66,0.42
18.2,0.45,0.97,0.66,0.42
18.3,0.45,0.97,0.66,0.42
18.4,0.43,0.97,0.65,0.4
18.5,0.43,0.97,0.65,0.4
18.6,0.43,0.97,0.65,0.4
18.7,0.43,0.97,0.65,0.4
18.8,0.43,0.97,0.65,0.4
18.9,0.43,0.97,0.65,0.4
19,0.43,0.97,0.65,0.4
19.1,0.43,0.97,0.65,0.4
19.2,0.43,0.97,0.65,0.4
19.3,0.43,0.97,0.65,0.4
19.4,0.43,1,0.66,0.43
19.5,0.43,1,0.66,0.43
19.6,0.43,1,0.66,0.43
19.7,0.43,1,0.66,0.43
19.8,0.43,1,0.66,0.43
19.9,0.43,1,0.66,0.43
20,0.43,1,0.66,0.43
20.1,0.43,1,0.66,0.43
20.2,0.43,1,0.66,0.43
20.3,0.43,1,0.66,0.43
20.4,0.43,1,0.66,0.43
20.5,0.43,1,0.66,0.43
20.6,0.43,1,0.66,0.43
20.7,0.41,1,0.65,0.41
20.8,0.39,1,0.64,0.39
20.9,0.39,1,0.64,0.39
21,0.37,1,0.63,0.37
21.1,0.37,1,0.63,0.37
21.2,0.37,1,0.63,0.37
21.3,0.37,1,0.63,0.37
21.4,0.37,1,0.63,0.37
21.5,0.37,1,0.63,0.37
21.6,0.37,1,0.63,0.37
21.7,0.35,1,0.61,0.35
21.8,0.35,1,0.61,0.35
21.9,0.35,1,0.61,0.35
22,0.35,1,0.61,0.35
22.1,0.35,1,0.61,0.35
22.2,0.33,1,0.6,0.33
22.3,0.31,1,0.59,0.31
22.4,0.31,1,0.59,0.31
22.5,0.31,1,0.59,0.31
22.6,0.31,1,0.59,0.31
22.7,0.31,1,0.59,0.31
22.8,0.29,1,0.58,0.29
22.9,0.29,1,0.58,0.29
23,0.29,1,0.58,0.29
23.1,0.29,1,0.58,0.29
23.2,0.29,1,0.58,0.29
23.3,0.29,1,0.58,0.29
23.4,0.29,1,0.58,0.29
23.5,0.29,1,0.58,0.29
23.6,0.29,1,0.58,0.29
23.7,0.29,1,0.58,0.29
23.8,0.29,1,0.58,0.29
23.9,0.29,1,0.58,0.29
24,0.29,1,0.58,0.29
24.1,0.29,1,0.58,0.29
24.2,0.29,1,0.58,0.29
24.3,0.29,1,0.58,0.29
24.4,0.29,1,0.58,0.29
24.5,0.29,1,0.58,0.29
24.6,0.29,1,0.58,0.29
24.7,0.29,1,0.58,0.29
24.8,0.29,1,0.58,0.29
24.9,0.29,1,0.58,0.29
25,0.29,1,0.58,0.29
25.1,0.27,1,0.57,0.27
25.2,0.27,1,0.57,0.27
25.3,0.27,1,0.57,0.27
25.4,0.27,1,0.57,0.27
25.5,0.27,1,0.57,0.27
25.6,0.27,1,0.57,0.27
25.7,0.27,1,0.57,0.27
25.8,0.27,1,0.57,0.27
25.9,0.27,1,0.57,0.27
26,0.27,1,0.57,0.27
26.1,0.27,1,0.57,0.27
26.2,0.27,1,0.57,0.27
26.3,0.27,1,0.57,0.27
26.4,0.27,1,0.57,0.27
26.5,0.27,1,0.57,0.27
26.6,0.27,1,0.57,0.27
26.7,0.27,1,0.57,0.27
26.8,0.27,1,0.57,0.27
26.9,0.27,1,0.57,0.27
27,0.27,1,0.57,0.27
27.1,0.27,1,0.57,0.27
27.2,0.27,1,0.57,0.27
27.3,0.24,1,0.55,0.24
27.4,0.24,1,0.55,0.24
27.5,0.24,1,0.55,0.24
27.6,0.22,1,0.54,0.22
27.7,0.22,1,0.54,0.22
27.8,0.22,1,0.54,0.22
27.9,0.2,1,0.53,0.2
28,0.18,1,0.52,0.18
28.1,0.18,1,0.52,0.18
28.2,0.18,1,0.52,0.18
28.3,0.18,1,0.52,0.18
28.4,0.18,1,0.52,0.18
28.5,0.16,1,0.51,0.16
28.6,0.16,1,0.51,0.16
28.7,0.16,1,0.51,0.16
28.8,0.16,1,0.51,0.16
28.9,0.14,1,0.49,0.14
29,0.14,1,0.49,0.14
29.1,0.14,1,0.49,0.14
29.2,0.14,1,0.49,0.14
29.3,0.14,1,0.49,0.14
29.4,0.14,1,0.49,0.14
29.5,0.14,1,0.49,0.14
29.6,0.14,1,0.49,0.14
29.7,0.14,1,0.49,0.14
29.8,0.14,1,0.49,0.14
29.9,0.14,1,0.49,0.14
30,0.14,1,0.49,0.14
